property_id,yardi_property_code,greystar_property_name,greystar_property_status,greystar_zip,greystar_city,greystar_state,greystar_lat,greystar_long,greystar_address,realpage_propertyid,realpage_property_name,realpage_zip,realpage_city,realpage_state,realpage_lat,realpage_long,realpage_address,realpage_compnumberone,realpage_compnumbertwo,realpage_compnumberthree,realpage_compnumberfour,realpage_compnumberfive,realpage_compnumbersix,realpage_compnumberseven,realpage_compnumbereight,realpage_compnumbernine,realpage_compnumberten,name_distance,match_type,distance_meters,google_lat,google_lon,geocoding_location_type,google_formatted_address,google_place_id,rp_google_place_id,realpage_reuse_count,is_realpage_reused,match_rank_within_realpage,combined_source
25936,ncvildep,Villages at Depot,Active,27502,Apex,NC,35.721317,-78.873367,30000 Summer Crop Lane,10259849,Villages at Depot,27502,Apex,NC,35.7210534,-78.873708,30000 Summer Crop Ln,null,null,null,null,null,null,null,null,null,null,0,exact_name_zip,null,35.7209811,-78.8737883,ROOFTOP,"30000 Summer Crop Ln, Apex, NC 27502, USA",ChIJ8c7cNuaSrIkRMOC3PCvHSeM,null,1,false,1,v2_new
2382,rpmontow,Monterey Townhouse,Active,93940,Monterey,CA,null,null,825 Casanova ave,41626,Monterey Townhomes,93940,Monterey,CA,36.5956272,-121.8498353,825 Casanova Ave,null,null,null,null,null,null,null,null,null,null,3,exact_address_zip,null,36.5958378,-121.8500342,GEOMETRIC_CENTER,"825 Casanova Ave, Monterey, CA 93940, USA",ChIJa2I4PQLljYARVTKFFEJugiY,null,1,false,1,v2_new
2623,txlengr2,Lenox Grand West,Active,77494,Katy,TX,null,null,750 W. Grand Parkway South,10252894,Lenox Grand West,77494,Katy,TX,29.77,-95.77819,750 W Grand Pkwy S,10252718,10252719,44581,34699,53455,70635,58305,90777,51419,30547,0,exact_name_zip,null,null,null,null,null,null,ChIJOfZRS9omQYYRaY0uJwYo-Uc,1,false,1,v2_new
2446,corivroo,River Roost,Active,81301,Durango,CO,null,null,801 Camino Del Rio,10280139,River Roost,81301,Durango,CO,37.2735156302227,-107.884057209049,801 Camino Del Rio,null,null,null,null,null,null,null,null,null,null,0,exact_name_zip,null,null,null,null,null,null,ChIJMbT3D58CPIcRXU-n5N8i5SE,1,false,1,v2_new
872,idcarpl2,Carrington Place,Active,83815,Coeur d'Alene,ID,null,null,4010 W Trafford Dr,10072884,Carrington Place,83815,Coeur d'Alene,ID,47.7411887,-116.8405241,4010 W Trafford Ln,null,null,null,null,null,null,null,null,null,null,0,exact_name_zip,null,null,null,null,null,null,ChIJZ77-uQvBYVMRrims5DaGXE8,1,false,1,v2_new
3243,ncbrowes,Broadstone West End,Active,28208,Charlotte,NC,null,null,2220 Wilkinson Boulevard,10295096,Broadstone West End,28208,Charlotte,NC,35.2240135,-80.8764699,2220 Wilkinson Blvd,null,null,null,null,null,null,null,null,null,null,0,exact_name_zip,null,35.2240135,-80.87646989999999,ROOFTOP,"2220 Wilkinson Blvd, Charlotte, NC 28208, USA",ChIJhxBD1d-hVogReLB3BVE4wpk,null,1,false,1,v2_new
15629,gawenpar,Wentworth Park,Active,31407,Port Wentworth,GA,null,null,7450 Highway 21,10271324,Wentworth Park,31407,Port Wentworth,GA,32.20448,-81.19835,7450 GA-21,90280,10273791,10287841,17390,10261712,10120232,77212,88971,50941,10271322,0,exact_name_zip,null,null,null,null,null,null,ChIJ96hgId6j-4gRUsMjPLCENxY,1,false,1,v2_new
23689,azzonwes,Zone Westgate,Active,85305,Glendale,AZ,null,null,6610 N 93rd Ave,19266,Zone Westgate,85305,Glendale,AZ,33.5317624,-112.2579149,6610 N 93rd Ave,19275,10278211,10275619,93010,23753,10274087,10266551,54984,21785,10252912,0,exact_name_zip,null,null,null,null,null,null,ChIJDxG1AY1BK4cRq0jXwQw8vqI,1,false,1,v2_new
null,rpinnsqu,Innsbrook Square,Active,23060,Glen Allen,VA,null,null,4301 Dominion Forest Cir,10265736,Innsbrook Square,23060,Glen Allen,VA,37.6586549938558,-77.581433403003,4301 Dominion Forest Cir,10258268,32816,17109,2080,42957,45154,82106,89257,2012,10260512,0,exact_name_zip,null,null,null,null,null,null,ChIJhTligaBqsYkRawTqMDSOIQE,1,false,1,v2_new
1513,mnsecsec,Second + Second,Active,55401,Minneapolis,MN,null,null,120 N 2nd St,78993,Second + Second,55401,Minneapolis,MN,44.9844199,-93.2693596,120 N 2nd St,46633,79999,84097,46624,42266,89976,72918,45788,51076,90388,0,exact_name_zip,null,null,null,null,null,null,ChIJWZtuS4Qys1IRTCSUPr8A_LE,1,false,1,v2_new
